country,co2_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,gdp,cluster,cluster_label
Australia,16.294,4.407,95.593,4.407,501524767329.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.405,4.196,95.804,4.196,527993237904.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.853,4.002,95.998,4.002,549038744439.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.036,4.0,96.0,4.0,574765618472.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.306,3.914,96.086,3.914,601472798853.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.861,3.813,96.187,3.813,634847053105.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.185,3.786,96.214,3.786,664520698611.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.288,3.765,96.235,3.765,692059312020.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.469,3.655,96.345,3.655,713890072308.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.495,3.711,96.289,3.711,747065694937.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.708,3.797,96.203,3.797,774450991263.0,0,"Moderate CO₂, Fossil-heavy"
Australia,19.056,3.829,96.171,3.829,809792445090.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.975,4.095,95.905,4.095,840092380696.0,0,"Moderate CO₂, Fossil-heavy"
Australia,19.007,4.024,95.976,4.024,866678665246.0,0,"Moderate CO₂, Fossil-heavy"
Australia,19.036,3.786,96.214,3.786,911250727265.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.918,3.499,96.501,3.499,937889628737.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.683,3.722,96.278,3.722,963129933389.0,0,"Moderate CO₂, Fossil-heavy"
Australia,18.293,4.088,95.912,4.088,993853968687.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.966,5.392,94.608,5.392,1024000293343.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.722,5.4,94.6,5.4,1062662906305.0,0,"Moderate CO₂, Fossil-heavy"
Australia,17.122,6.173,93.827,6.173,1086068056518.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.639,5.663,94.337,5.663,1113888062929.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.727,5.955,94.045,5.955,1139303344945.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.838,6.785,93.215,6.785,1169967279612.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.716,6.373,93.627,6.373,1197832839959.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.512,7.848,92.152,7.848,1231576952488.0,0,"Moderate CO₂, Fossil-heavy"
Australia,16.283,8.407,91.593,8.407,1255505542015.0,0,"Moderate CO₂, Fossil-heavy"
Australia,15.481,10.292,89.708,10.292,1232259790388.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.966,12.283,87.717,12.283,1296705194119.0,0,"Moderate CO₂, Fossil-heavy"
Australia,14.659,13.247,86.753,13.247,1344251444393.0,0,"Moderate CO₂, Fossil-heavy"
Austria,5.252,23.94,76.06,23.94,89635521566.0,2,"Moderate CO₂, Balanced Energy"
Austria,5.36,24.66,75.34,24.66,94674312319.0,2,"Moderate CO₂, Balanced Energy"
Austria,5.417,24.931,75.069,24.931,97560799169.0,2,"Moderate CO₂, Balanced Energy"
Austria,5.709,23.942,76.058,23.942,101902465717.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.004,21.212,78.788,21.212,108304558083.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.787,23.624,76.376,23.624,116016114210.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.947,18.684,81.316,18.684,121950335758.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.437,18.56,81.44,18.56,129526389919.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.916,19.189,80.811,19.189,135852151617.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.545,22.621,77.379,22.621,141212924750.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.158,23.879,76.121,23.879,140694752173.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.698,19.89,80.11,19.89,147134328300.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.402,24.109,75.891,24.109,154017554077.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.571,23.115,76.885,23.115,153461858932.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.127,24.606,75.394,24.606,161829470113.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.896,25.617,74.383,25.617,165574166869.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.382,28.003,71.997,28.003,165408175664.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.077,29.015,70.985,29.015,168565433094.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.837,28.818,71.182,28.818,173293645734.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.175,25.484,74.516,25.484,173865898335.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.192,28.506,71.494,28.506,177760570016.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.103,28.914,71.086,28.914,181932973945.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.579,30.869,69.131,30.869,184993439227.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.982,31.4,68.6,31.4,190845951984.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.049,31.084,68.916,31.084,198919354981.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.098,27.764,72.236,27.764,207979127656.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.481,26.528,73.472,26.528,215992683383.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.688,29.828,70.172,29.828,221400873854.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.678,30.718,69.282,30.718,223462931302.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.694,30.028,69.972,30.028,229749328956.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.058,30.14,69.86,30.14,236824462430.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.468,27.074,72.926,27.074,243480734505.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.445,28.264,71.736,28.264,249847313444.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.39,28.532,71.468,28.532,259776337669.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.215,30.668,69.332,30.668,270186173474.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.262,31.268,68.732,31.268,280410163017.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.728,29.411,70.589,29.411,285335695766.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.908,28.923,71.077,28.923,291231427735.0,2,"Moderate CO₂, Balanced Energy"
Austria,9.53,24.121,75.879,24.121,294489280951.0,2,"Moderate CO₂, Balanced Energy"
Austria,9.508,26.119,73.881,26.119,303692479841.0,2,"Moderate CO₂, Balanced Energy"
Austria,9.612,26.317,73.683,26.317,311441138652.0,2,"Moderate CO₂, Balanced Energy"
Austria,9.286,26.99,73.01,26.99,323236897651.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.93,29.094,70.906,29.094,336303973991.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.827,29.577,70.423,29.577,342892519161.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.065,32.548,67.452,32.548,331119036991.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.607,30.113,69.887,30.113,338832243101.0,2,"Moderate CO₂, Balanced Energy"
Austria,8.327,29.158,70.842,29.158,349713455451.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.977,34.498,65.502,34.498,352093108730.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.989,34.024,65.976,34.024,352182904722.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.506,35.017,64.983,35.017,354511819035.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.677,33.052,66.948,33.052,358108266932.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.693,34.026,65.974,34.026,365232738553.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.91,33.213,66.787,33.213,373481694490.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.529,33.139,66.861,33.139,382540042762.0,2,"Moderate CO₂, Balanced Energy"
Austria,7.651,34.189,65.811,34.189,388344674039.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.97,36.88,63.12,36.88,363281092036.0,1,"Low CO₂, Renewable-heavy"
Austria,7.333,34.638,65.362,34.638,379835198584.0,2,"Moderate CO₂, Balanced Energy"
Austria,6.78,35.134,64.866,35.134,398815419150.0,2,"Moderate CO₂, Balanced Energy"
Azerbaijan,7.537,1.553,98.447,1.553,57181877446.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.745,0.884,99.116,0.884,58704586851.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.25,0.912,99.088,0.912,61831432355.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.286,0.791,99.209,0.791,65070242359.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.197,0.776,99.224,0.776,59803709283.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.101,1.77,98.23,1.77,53235601363.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,6.846,1.954,98.046,1.954,53426621017.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,7.585,2.267,97.733,2.267,41795295334.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,6.451,3.632,96.368,3.632,32486438953.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,5.513,2.981,97.019,2.981,26372096369.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,4.315,2.695,97.305,2.695,23188276303.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.99,3.248,96.752,3.248,24026379639.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.76,3.779,96.221,3.779,26436933201.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.96,4.291,95.709,4.291,28328460213.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.558,3.318,96.682,3.318,31898574736.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.641,3.233,96.767,3.233,34255707098.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.444,2.83,97.17,2.83,36862177017.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.431,4.419,95.581,4.419,40295217200.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.629,4.963,95.037,4.963,44994637993.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.799,4.866,95.134,4.866,50107477354.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.977,4.864,95.136,4.864,64019175136.0,0,"Moderate CO₂, Fossil-heavy"
Azerbaijan,3.963,4.114,95.886,4.114,87026407066.0,0,"Moderate CO₂, Fossil-heavy"
